书籍类别,书籍名称,作者,出版社,出版年份
博物·科普-英文,Improbable Destinies: How Predictable is Evolution?,Jonathan Losos,Penguin Books,2017
博物·科普-英文,Inheritors of the Earth: How Nature Is Thriving in an Age of Extinction,Chris D.Thonmas,Publicaffairs,2017
博物·科普-英文,"Inside the Lost Museum: Curating, Past and Present",Steven Lubar,Harvard University Press,2017
博物·科普-英文,Letters?To?A?Young?Scientist,Edward O. Wilson?,Liveright,2014
博物·科普,LID低影响开发：城区设计手册,(美) 阿肯色大学社区设计中心（UACDC）?,江苏凤凰科技出版社,2017
专著-英文,Messages from Islands: A Global Biodiversity Tour,Ilkka Hanski,Princeton University Press,2016
专著-英文,Metacommunity Ecology,"Mathew A. Leibold, Jonathan M. Chase",Princeton University Press,2017
博物·科普-英文,"Monarchs and Milkweed: A Migrating Butterfly, a Poisonous Plant, and Their Remarkable Story of Coevolution",Anurag Agrawal,Annette Meredit,2018
博物·科普,Nature杂志科幻小说选集（二）,亨利·吉著,上海交通大学出版社,2016
专著-英文,Plant Socilology [植物社会学],"Braun-Blanquet. George D. Fuller, Henry S. Conard [English version]",McGraw-Hill,1932
专著-英文,Plants of China: A companion to the Flora of China,洪德元，Stephen Blackmore,Cambridge University Press,2015
博物·科普-英文,Reinventing?Capitalism in?the?Age?of?Big?Data,Viktor Mayer-Sch?nberger,Basic Books,2018
专著-英文,Requiem for Nature,John Terborgh,Island Press,1999
统计类图书,R语言数据可视化之美: 专业图表绘制指南(增强版),张杰,电子工业出版社,2019
专著-英文,Species diversity in space and time,Michael L. Rosenzweig,Cambridge University Press,1995
专著-英文,Stern's Introductory Plant Biology," Shelley H. Jansky, James E. Bidlack",McGraw-Hill,2011
专著-英文,Temperate Broad-leaved Evergreen Forests (Ecosystems of The World Volume 10),J.D. Ovington,Elsevier,1983
博物·科普-英文,The diversity of life,Edward O. Wilson,Penguin books,1992
专著-英文,The Economy of Nature (4th edition),Robert E. Ricklefs,Chiron Press,1996
专著-英文,The Effective Scientist (A Handy Guide to a Successful Academic Career),Corey J. A. Bradshaw,Cambridge University Press,2018
专著-英文,The Geography of flowering plants（Fourth Edition）,Ronald Good,Longman,1974
博物·科普-英文,The invention of Nature,Andrea Wulf,Vintage Books,2015
博物·科普-英文,The Naturalist (25th Anniversary Edition),Edward O. Wilson,Island Press,1994
博物·科普-英文,The Song of the Dodo: Island Biogeography in an  Age of Extinctions,David Quammen,Hutchinson,1996
专著-英文,The Theory of Ecological Communities,Mark Vellend,Princeton University Press,2016
专著-英文,The Unified Neutral Theory of Biodiversity and Biogeography,Stephen P. Hubbell  ,Princeton University Press,2001
博物·科普-英文,The Vital Question:  Why is life The Way It is?,Nick Lane,Profile Books,2015
博物·科普-英文,The?Voyage?of?the?Beagle,Charles Darwin,Wordsworth Editions,1997
专著-英文,Theory of Population Genetics and Evolutionary Ecology: An Introduction,Jonathan Roughgarden,"MacMillan Publ. Co., Inc.",1979
专著-英文,Writing Science in Plain English,Anne E. Greene,The University of Chicago Press,2013
博物·科普,阿尔金山国家级自然保护区野生动植物图谱,刘全儒 [等],中国环境出版集团,2018
专著-植被,哀牢山森林生态系统研究,邱学忠 [等],云南科技出版社,1998
专著-植被,安徽森林,张曾詿 [等],安徽科学技术出版社,1990
博物·科普,半个地球,Edward O. Wilson 著 魏薇 译,浙江人民出版社,2017
博物·科普,北京花开——写给大家看的植物书,韩静华,科学普及出版社,2017
校园植物类,北京林业大学校园植物导览手册,纭七柒,中国林业出版社,2016
统计类图书,贝叶斯统计方法——R和BUGS软件数据分析示例（影印版）,[美] John K.kruschke,机械工业出版社,2015
博物·科普,播火录,赵致真,北京出版社,2019
博物·科普,博物人生（第二版）,刘华杰,北京大学出版社,2016
博物·科普,不列颠博物学家：一部社会史,David Elliston Allen  [等],上海交通大学出版社,2017
校园植物类,草木关情,王志恒 [等],宁夏人民出版社,2016
博物·科普,草木私语：植物世界那些事,祈云枝,长江出版传媒,2017
专著-植被,车八岭国家级自然保护区调查研究论文集,徐燕千,广东科技出版社,1993
教材教辅,城市生态学,宋永昌 由文辉 王祥荣 主编,华东师范大学出版社,2000
教材教辅,城市生态学——城市之科学,"Richard T. T. Forman 编著 ??
邬建国 [等]译",高等教育出版社,2017
专著-植被,赤水桫椤自然保护区科学考察集,贵州省环境保护局,贵州民族出版社,1990
博物·科普,创世记,"Edward O. Wilson 著??
傅贺 译",中信出版社,2019
校园植物类,萃英草木,冯虎元，潘建斌，安黎哲,高等教育出版社,2016
专著-植被,大沙河自然保护区科学考察集,"贵州省林业厅 , 蓝开敏",贵州民族出版社,1994
统计类图书,大数据时代的历史机遇,赵国栋 [等],清华大学出版社,2013
专著-植被,大围山自然保护区,西南林学院,西南林学院等,1999
博物·科普,大自然的猎人(The Naturalist 中文版),"Edward O. Wilson 编著
杨玉龄 译",上海科学技术出版社,2006
教材教辅,地貌学,严钦尚，曾昭璇,高等教育出版社,1985
教材教辅,多功能人工林经营技术指南,陆元昌，刘宪钊 [等],中国林业出版社,2014
统计类图书,多元统计方法及其应用,郭科,电子科技大学出版社,2003
博物·科普,峨眉山常见药用植物彩色图谱,李策宏,四川科学技术出版社,2017
专著-植被,福建森林,章浩白 [等],中国林业出版社,1993
校园植物类,复旦校园植物图志,李辉，周晔,复旦大学出版社,2015
专著-植被,干热河谷植被,金振洲,云南大学出版社、云南科技出版社,2000
博物·科普,高黎贡山蛾类图鉴,杨平之 [等],科学出版社 ,2016
